[reactor-http-nio-2] 07:58:758 HttpServerOperations: [4cd4fab3, L:/127.0.0.1:8081 - R:/127.0.0.1:54211] New http connection, requesting read
[reactor-http-nio-2] 07:58:758 TransportConfig: [4cd4fab3, L:/127.0.0.1:8081 - R:/127.0.0.1:54211] Initialized pipeline DefaultChannelPipeline{(reactor.left.httpCodec = io.netty.handler.codec.http.HttpServerCodec), (reactor.left.httpTrafficHandler = reactor.netty.http.server.HttpTrafficHandler), (reactor.right.reactiveBridge = reactor.netty.channel.ChannelOperationsHandler)}
[reactor-http-nio-2] 07:58:758 HttpServerOperations: [4cd4fab3, L:/127.0.0.1:8081 - R:/127.0.0.1:54211] Increasing pending responses, now 1
[reactor-http-nio-2] 07:58:758 HttpServer: [4cd4fab3-1, L:/127.0.0.1:8081 - R:/127.0.0.1:54211] Handler is being applied: org.springframework.http.server.reactive.ReactorHttpHandlerAdapter@7a988781
[reactor-http-nio-2] 07:58:758 HttpWebHandlerAdapter: [4cd4fab3-1] HTTP GET "/cars"
[reactor-http-nio-2] 07:58:758 RequestMappingHandlerMapping: [4cd4fab3-1] Mapped to me.zeroest.spring.reactive.car.location.controller.CarLocationController#getCars()
[reactor-http-nio-2] 07:58:758 ResponseBodyResultHandler: [4cd4fab3-1] Using 'application/json' given [*/*] and supported [application/json, application/*+json, application/x-ndjson, text/event-stream]
[reactor-http-nio-2] 07:58:758 ResponseBodyResultHandler: [4cd4fab3-1] 0..N [me.zeroest.spring.reactive.car.Car]
[reactor-http-nio-2] 07:58:758 1: onSubscribe(FluxDelaySubscription.DelaySubscriptionOtherSubscriber)
[reactor-http-nio-2] 07:58:758 1: request(1)
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=1, location=Location(longitude=40.740848, latitude=-73.987960)))
[nioEventLoopGroup-3-9] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=1, location=Location(longitude=40.740848, latitude=-73.987960))]
[reactor-http-nio-2] 08:00:80 1: request(127)
[reactor-http-nio-2] 08:00:80 1: onNext(Car(id=2, location=Location(longitude=40.740876, latitude=-73.987988)))
[reactor-http-nio-2] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=2, location=Location(longitude=40.740876, latitude=-73.987988))]
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=3, location=Location(longitude=40.740852, latitude=-73.988076)))
[nioEventLoopGroup-3-9] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=3, location=Location(longitude=40.740852, latitude=-73.988076))]
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=8, location=Location(longitude=40.740992, latitude=-73.987904)))
[nioEventLoopGroup-3-9] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=8, location=Location(longitude=40.740992, latitude=-73.987904))]
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=6, location=Location(longitude=40.740948, latitude=-73.987956)))
[nioEventLoopGroup-3-9] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=6, location=Location(longitude=40.740948, latitude=-73.987956))]
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=7, location=Location(longitude=40.740804, latitude=-73.988080)))
[nioEventLoopGroup-3-9] 08:00:80 HttpLogging: [4cd4fab3-1] Encoding [Car(id=7, location=Location(longitude=40.740804, latitude=-73.988080))]
[nioEventLoopGroup-3-9] 08:00:80 1: onNext(Car(id=9, location=Location(longitude=40.740824, latitude=-73.987988)))
